church,community,denomination,description,link_1,link_2,link_3,Link,,,,,,,,
Boswell Chapel Baptist Church,North of Greensboro,Baptist Church,Black,https://www.facebook.com/watch/live/?v=475303843673228&ref=watch_permalink,https://www.facebook.com/watch/live/?v=468831847602474&ref=watch_permalink,https://www.facebook.com/watch/live/?v=468831847602474&ref=watch_permalink,https://www.facebook.com/bcthewell/videos/?ref=page_internal,,,,,,,,
First Baptist Church Union Point,Union Point,Baptist Church,"White, rural",https://www.youtube.com/watch?v=FtnxdffQrT4,https://www.youtube.com/watch?v=czYiZOlVzfc,https://www.youtube.com/watch?v=ahCBIYqKjvY,https://www.youtube.com/channel/UCKeNNbjzPhi6ytmVum7okYA,,,,,,,,https://www.facebook.com/UPyouthfirstbaptist/
Celebration Baptist Church,North of Greensboro,Baptist Church,"White, rural",https://www.facebook.com/watch/live/?v=782773328935454&ref=watch_permalink,https://www.facebook.com/watch/live/?v=3168517376570505&ref=watch_permalink,https://www.facebook.com/watch/live/?v=674387279776590&ref=watch_permalink,https://www.facebook.com/celebrationbaptistministries/videos/?ref=page_internal,,,,,,,,
Union Point Worship Center,Union Point,Pentecostal,"White, rural",https://www.youtube.com/watch?v=SLg6I4lQj5o,https://www.youtube.com/watch?v=SLg6I4lQj5o,https://www.youtube.com/watch?v=FGoN0YGPLNc,https://upworshipcenter.wordpress.com/online-services/,,,,,,,,
Ebenezer AME Church,Greensboro,AME,Black,https://www.facebook.com/watch/live/?v=168970365137059&ref=watch_permalink,https://www.facebook.com/watch/live/?v=209654010627806&ref=watch_permalink,,https://www.facebook.com/Ebenezeramec19/videos/?ref=page_internal,,,,,,,,
Christ City of Faith Ministries,Greensboro,???,Black,,,,https://www.facebook.com/groups/218698321489699/about,,,,,,,,
New Life Christian Ministry International,Greensboro,,Black,,,,https://www.facebook.com/NLCMI/,,,,,,,,
"Wesley Chapel, Wesleyan Church",Greensboro,Wesleyan,"White, rural",,,,https://www.facebook.com/Wesley-Chapel-Wesleyan-Church-100265271744828/,,,,,,,,
Shiloh Baptist Church,North of Greensboro,Baptist,"White, rural",,,,https://www.facebook.com/greensboroshilohbaptistchurch/,,,,,,,,
Fork Chapel,Greshamville,United Methodist Church,"White, rural",,,,https://www.forkchapelumc.org/?post_type=wpfc_sermon,,,,,,,,
Freedom Worship Center,Greshamville,Non-Denominational,"White, rural",,,,https://www.facebook.com/holyrevive/,,,,,,,,
New Hope Baptist Church,Greshamville,Baptist,"White, rural",,,,https://www.youtube.com/channel/UC5a14O1XEpg60Gipmt2qvig/videos,,,,,,,,
St. Paul Woodville Baptist Church,Woodville,Baptist,Black,,,,https://www.facebook.com/St-Paul-Woodville-Ga-103056974723290/,,,,,,,,
Bethel Baptist Church,Union Point,Baptist,"White, rural",,,,https://www.bethelbaptistchurchinfo.org/media.html,,,,,,,,
Walker United Methodist Church,"South of Greensboro, north of lake",United Methodist Church,"White, rural (?)",,,,http://www.walkerchurch.com/sermons,,,,,,,,
Liberty United Methodist Church,Liberty,United Methodist Church,"White, rural (?)",,,,https://www.youtube.com/channel/UCLJOtUlLI6NE-52OHTcDcBg/videos,,,,,,,,